Item_Id,Nome,Preço,Moeda,Categoria,Marca,Quantidade,Link,Detalhes_Imagem,Descrição,Condicao,Estado
MLA1464550035,Apple Tv A1427 Estándar 3.a Generación,25000.0,ARS,MLA352001,A1427,1,https://articulo.mercadolibre.com.ar/MLA-1464550035-apple-tv-a1427-estandar-3a-generacion-_JM,http://http2.mlstatic.com/D_796778-MLA81277974897_122024-O.jpg,,used,Buenos Aires
MLA1436930383,Apple Tv A1427 Estándar 3.ªgeneracion,80500.0,ARS,MLA352001,A1427,1,https://articulo.mercadolibre.com.ar/MLA-1436930383-apple-tv-a1427-estandar-3generacion-_JM,http://http2.mlstatic.com/D_764119-MLA77579525623_072024-O.jpg,,used,Capital Federal
MLA1464945897,Apple Tv 3.a Generación 512mb,99000.0,ARS,MLA352001,A1427,1,https://articulo.mercadolibre.com.ar/MLA-1464945897-apple-tv-3a-generacion-512mb-_JM,http://http2.mlstatic.com/D_763738-MLA81077248890_122024-O.jpg,,used,Buenos Aires
MLA2016882872,Apple Tv 3gen Full Hd 8gb *no Funciona*,15000.0,ARS,MLA352001,A1427,1,https://articulo.mercadolibre.com.ar/MLA-2016882872-apple-tv-3gen-full-hd-8gb-no-funciona-_JM,http://http2.mlstatic.com/D_757068-MLA79511618779_092024-O.jpg,,used,Mendoza
MLA1144065331,Amazon Fire Tv Stick 4k 2023 Wifi 6 2gb De Ram Con Alexa Color Negro,68490.0,ARS,MLA352001,Amazon,1,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-2023-wifi-6-2gb-de-ram-con-alexa-color-negro/p/MLA28024922#wid=MLA1144065331&sid=unknown,http://http2.mlstatic.com/D_814985-MLA81098692218_122024-I.jpg,,new,Capital Federal
MLA1937944368,Amazon Lite Fire Tv Stick B091g4yp57 De Voz Full Hd 8gb Negro Con 1gb De Memoria Ram,57985.0,ARS,MLA352001,B091G4YP57,1,https://www.mercadolibre.com.ar/amazon-lite-fire-tv-stick-b091g4yp57-de-voz-full-hd-8gb-negro-con-1gb-de-memoria-ram/p/MLA19732185#wid=MLA1937944368&sid=unknown,http://http2.mlstatic.com/D_848963-MLU74112953338_012024-I.jpg,,new,Capital Federal
MLA1565619806,Amazon Fire Tv Stick Lite Control Por Voz Alexa Fhd 1080p Color Negro Tipo De Control Remoto De Voz,57800.0,ARS,MLA352001,MDZ-24-AA,1,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-lite-control-por-voz-alexa-fhd-1080p-color-negro-tipo-de-control-remoto-de-voz/p/MLA24588486#wid=MLA1565619806&sid=unknown,http://http2.mlstatic.com/D_843463-MLU70509108856_072023-I.jpg,,new,Santa Fe
MLA1454112559,Amazon Fire Tv Stick 4k Ultra Hd Max 16gb 2nda Generación Wi-fi 6e Color Negro Tipo De Control Remoto Estándar,100600.0,ARS,MLA352001,Amazon,1,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-ultra-hd-max-16gb-2nda-generacion-wi-fi-6e-color-negro-tipo-de-control-remoto-estandar/p/MLA29627884#wid=MLA1454112559&sid=unknown,http://http2.mlstatic.com/D_827472-MLA79350265768_092024-I.jpg,,new,Capital Federal
MLA2009246458,Amazon Fire Tv Stick De Voz 3gen Full Hd 8gb Negro Con 1gb De Ram,67680.0,ARS,MLA352001,Amazon,1,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-de-voz-3gen-full-hd-8gb-negro-con-1gb-de-ram/p/MLA18593745#wid=MLA2009246458&sid=unknown,http://http2.mlstatic.com/D_606631-MLA77113980772_062024-I.jpg,,new,Capital Federal
MLA1968378116,Amazon Fire Tv Stick 3ra Hd Alexa Voice Remote Original,84389.0,ARS,MLA352001,g071el1111930nvj,1,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-3ra-hd-alexa-voice-remote-original/p/MLA21723872#wid=MLA1968378116&sid=unknown,http://http2.mlstatic.com/D_753131-MLA47043467427_082021-I.jpg,,new,Santa Fe
